venue	method	path	use_case	data_kind	checked_at	doc_version	schema_hash	fixture_id	parser_test	request_builder_test	auth_kind
Binance	Get	/fapi/v1/exchangeInfo	Metadata	InstrumentMetadata	2026-07-11	binance-usdm-futures-exchange-information-usdt-usdc-2026-07-11	sha256:10c40d2f5bce94b4f4dcf57226e90fd559f5f63dc79fc7867b6b9866f59a9525	crates/exchange/fixtures/binance/usdm_exchange_info_usdt_usdc.json	registry_projection_uses_compiled_usdt_and_usdc_specs	exchange_info_uses_official_path_without_query	public
Okx	Get	/api/v5/public/instruments	Metadata	InstrumentMetadata	2026-06-03	okx-v5-public-get-instruments-2026-06-03	sha256:12f958835984aafc2c8280c93e33fbefcadba9351f113275351faf51c9ac76eb	crates/exchange/fixtures/okx/public_instruments_swap.json	okx_instrument_rule_parses_official_swap_fixture	swap_inst_ids_rest_parses_official_fixture_and_uses_swap_query	public
Bybit	Get	/v5/market/instruments-info	Metadata	InstrumentMetadata	2026-07-13	bybit-v5-get-instruments-info-2026-07-13	sha256:5bd6c38c7d43fd01780a8066901ff0ff548b02c25cd263f57b61713da4b6f0f3	crates/exchange/fixtures/bybit/instruments_info_linear_identity_matrix.json	bybit_identity_matrix_preserves_usdt_usdc_and_rwa_contracts	funding_rates_and_instruments_uses_linear_instruments_query	public
Bitget	Get	/api/v3/market/instruments	Metadata	InstrumentMetadata	2026-06-03	bitget-uta-get-instruments-2026-06-03	sha256:7df78c9aa6e3fee915145a180e251761f831c4affcab637d0323b4b853eb5a4d	crates/exchange/fixtures/bitget/uta_instruments_usdt_futures_btcusdt.json	bitget_uta_instruments_parses_official_fixture_metadata	bitget_uta_instruments_use_official_path_category_query	public
Gate	Get	/api/v4/futures/usdt/contracts	Metadata	InstrumentMetadata	2026-06-03	gate-apiv4-list-futures-contracts-2026-06-03	sha256:8d34ecc69829afdec05cad79d47cd69c8afab63a52a274c26d77cd50ce025d4f	crates/exchange/fixtures/gate/futures_usdt_contracts_btc_usdt.json	gate_contracts_parses_official_fixture_metadata_and_funding	gate_contracts_and_tickers_uses_official_contracts_path_without_query	public
Gate	Get	/api/v4/futures/usdt/fee	PrivateRead	AccountConfig	2026-07-11	gate-apiv4-v4.105.32-query-futures-market-trading-fee-rates-2026-07-11	sha256:8ad7680d9bbf1abf952dfb6158ab84a169a04c3fd580da1197613c504bdc5bcb	crates/exchange/fixtures/gate/futures_usdt_fee.json	parses_official_fee_fixture_and_preserves_maker_rebate	fee_read_uses_signed_endpoint_and_preserves_rebate	signed
Gate	Get	/api/v4/futures/usdt/my_trades	PrivateRead	OrderStatus	2026-07-11	gate-apiv4-v4.105.32-query-personal-trading-records-2026-07-11	sha256:5fc511e1c98816438ef07b39f8c1e9bdb1f3d911d8244605aa07a49e8b1412b9	crates/exchange/fixtures/gate/futures_usdt_my_trades_order.json	parses_official_my_trades_fixture_without_combining_fee_units	my_trades_uses_signed_order_query_and_official_fixture	signed
Kucoin	Get	/api/v1/contracts/active	Metadata	InstrumentMetadata	2026-07-11	kucoin-futures-native-contract-matrix-2026-07-11	sha256:612f1509f278052c31888787baae9f3556086bff1280ee430f8e992aff641d7c	crates/exchange/fixtures/kucoin/contracts_active_native_matrix.json	official_matrix_maps_usdt_usdc_and_verified_equity_contracts	kucoin_contracts_active_uses_official_path_without_query	public
Hyperliquid	Post	/info	Metadata	InstrumentMetadata	2026-06-03	hyperliquid-perpetuals-meta-and-asset-ctxs-2026-06-03	sha256:b5b76216f848ed73eb687ad9610d29e90a93234b07dd7193c1ae9d94c65891b4	crates/exchange/fixtures/hyperliquid/meta_and_asset_ctxs_btc_eth.json	hyperliquid_meta_and_asset_ctxs_parses_official_fixture_metadata_ticker_funding	hyperliquid_meta_body_uses_official_body_with_optional_dex	public
Binance	Get	/fapi/v1/premiumIndex	Baseline	FundingRate	2026-06-03	binance-usdm-futures-mark-price-2026-06-03	sha256:eb2273bc5de40fea978307b7d5f460b71c906789725b0988af08b71208079deb	crates/exchange/fixtures/binance/usdm_premium_index_btcusdt.json	premium_index_parses_official_fixture_funding_and_mark_index	premium_indexes_uses_official_path_without_query	public
Binance	Get	/fapi/v1/premiumIndex	Baseline	MarkIndex	2026-06-03	binance-usdm-futures-mark-price-2026-06-03	sha256:eb2273bc5de40fea978307b7d5f460b71c906789725b0988af08b71208079deb	crates/exchange/fixtures/binance/usdm_premium_index_btcusdt.json	premium_index_parses_official_fixture_funding_and_mark_index	premium_indexes_uses_official_path_without_query	public
Binance	Get	/fapi/v1/openInterest	Baseline	OpenInterest	2026-06-03	binance-usdm-futures-open-interest-2026-06-03	sha256:f3e3c005e2a3a88d7723c606293c47ef08c4cded7969687d2c5ae5f7190636fb	crates/exchange/fixtures/binance/usdm_open_interest_btcusdt.json	open_interest_parses_official_fixture	open_interest_uses_official_path_and_symbol_query	public
Binance	Get	/fapi/v1/ticker/24hr	Baseline	PerpTicker	2026-06-03	binance-usdm-futures-24hr-ticker-price-change-statistics-2026-06-03	sha256:808109f971aad3eb8fac7ba1773f496ab0eb56af8caae1d8dad95a45728b63e6	crates/exchange/fixtures/binance/usdm_ticker_24hr_btcusdt.json	binance_usdm_ticker_24hr_parses_official_fixture	usdm_ticker_24hr_uses_official_path_without_query	public
Binance	Get	/api/v3/ticker/24hr	Baseline	SpotTicker	2026-06-03	binance-spot-24hr-ticker-price-change-statistics-2026-06-03	sha256:1624d6700a9cb106669813e8d9e48fa72550167c6abc46c871db73f63821d8d8	crates/exchange/fixtures/binance/spot_ticker_24hr_full.json	binance_spot_ticker_24hr_parses_official_fixture	binance_spot_ticker_24hr_uses_official_path_without_query	public
Okx	Get	/api/v5/market/tickers	Baseline	PerpTicker	2026-06-03	okx-v5-market-data-get-tickers-2026-06-03	sha256:ce2386f39d6d4284a467f5b66a689290d7f5c8f9d8c68058eff5e43f49621945	crates/exchange/fixtures/okx/market_tickers_swap_spot_btc_eth_usdt.json	okx_market_tickers_parse_official_swap_and_spot_fixture	okx_market_tickers_use_inst_type_queries	public
Okx	Get	/api/v5/market/tickers	Baseline	SpotTicker	2026-06-03	okx-v5-market-data-get-tickers-2026-06-03	sha256:ce2386f39d6d4284a467f5b66a689290d7f5c8f9d8c68058eff5e43f49621945	crates/exchange/fixtures/okx/market_tickers_swap_spot_btc_eth_usdt.json	okx_market_tickers_parse_official_swap_and_spot_fixture	okx_market_tickers_use_inst_type_queries	public
Okx	Get	/api/v5/public/funding-rate	Baseline	FundingRate	2026-06-03	okx-v5-public-data-get-funding-rate-2026-06-03	sha256:ae1dba76dc86eb171ad0311d79e0461b51503230be3bd6f0d4969078b0c2dd7f	crates/exchange/fixtures/okx/public_funding_mark_index_oi_btc_eth_usdt.json	okx_funding_rate_parses_official_fixture_interval	okx_funding_rate_uses_official_path_and_inst_id_query	public
Okx	Get	/api/v5/public/mark-price	Baseline	MarkIndex	2026-06-03	okx-v5-public-data-get-mark-price-2026-06-03	sha256:ae1dba76dc86eb171ad0311d79e0461b51503230be3bd6f0d4969078b0c2dd7f	crates/exchange/fixtures/okx/public_funding_mark_index_oi_btc_eth_usdt.json	okx_mark_index_open_interest_parse_official_fixture	okx_mark_index_prices_use_official_public_queries	public
Okx	Get	/api/v5/market/index-tickers	Baseline	MarkIndex	2026-06-03	okx-v5-public-data-get-index-tickers-2026-06-03	sha256:ae1dba76dc86eb171ad0311d79e0461b51503230be3bd6f0d4969078b0c2dd7f	crates/exchange/fixtures/okx/public_funding_mark_index_oi_btc_eth_usdt.json	okx_mark_index_open_interest_parse_official_fixture	okx_mark_index_prices_use_official_public_queries	public
Okx	Get	/api/v5/public/open-interest	Baseline	OpenInterest	2026-06-03	okx-v5-public-data-get-open-interest-2026-06-03	sha256:ae1dba76dc86eb171ad0311d79e0461b51503230be3bd6f0d4969078b0c2dd7f	crates/exchange/fixtures/okx/public_funding_mark_index_oi_btc_eth_usdt.json	okx_mark_index_open_interest_parse_official_fixture	okx_mark_index_prices_use_official_public_queries	public
Bybit	Get	/v5/market/tickers	Baseline	PerpTicker	2026-06-03	bybit-v5-get-tickers-2026-06-03	sha256:f970f706b977866e13fe68a080a7f860ddb9911e5adc7f624cbd454b915ee7f1	crates/exchange/fixtures/bybit/market_tickers_linear_spot_btcusdt.json	bybit_market_tickers_official_fixture_closes_perp_funding_spot_debt	bybit_market_tickers_uses_linear_and_spot_queries	public
Bybit	Get	/v5/market/tickers	Baseline	FundingRate	2026-06-03	bybit-v5-get-tickers-2026-06-03	sha256:f970f706b977866e13fe68a080a7f860ddb9911e5adc7f624cbd454b915ee7f1	crates/exchange/fixtures/bybit/market_tickers_linear_spot_btcusdt.json	bybit_market_tickers_official_fixture_closes_perp_funding_spot_debt	bybit_market_tickers_uses_linear_and_spot_queries	public
Bybit	Get	/v5/market/tickers	Baseline	SpotTicker	2026-06-03	bybit-v5-get-tickers-2026-06-03	sha256:f970f706b977866e13fe68a080a7f860ddb9911e5adc7f624cbd454b915ee7f1	crates/exchange/fixtures/bybit/market_tickers_linear_spot_btcusdt.json	bybit_market_tickers_official_fixture_closes_perp_funding_spot_debt	bybit_market_tickers_uses_linear_and_spot_queries	public
Bitget	Get	/api/v3/market/current-fund-rate	Baseline	FundingRate	2026-06-03	bitget-uta-get-current-funding-rate-2026-06-03	sha256:806a1cb7d237884b4144caa40e32409ff42e642ff5aedb3171378825f1765cd7	crates/exchange/fixtures/bitget/uta_current_fund_rate_btcusdt.json	bitget_uta_current_funding_parses_official_fixture	bitget_uta_current_funding_uses_official_symbol_query	public
Bitget	Get	/api/v3/market/tickers	Baseline	PerpTicker	2026-06-03	bitget-uta-get-tickers-2026-06-03	sha256:001a60dcbff93a4423c05ed344eb434e8db9f87ee4213f9a981cf6e00355d3c0	crates/exchange/fixtures/bitget/uta_tickers_usdt_futures_spot_btcusdt.json	bitget_uta_tickers_parse_official_futures_and_spot_fixture	bitget_uta_tickers_use_official_path_category_queries	public
Bitget	Get	/api/v3/market/tickers	Baseline	SpotTicker	2026-06-03	bitget-uta-get-tickers-2026-06-03	sha256:001a60dcbff93a4423c05ed344eb434e8db9f87ee4213f9a981cf6e00355d3c0	crates/exchange/fixtures/bitget/uta_tickers_usdt_futures_spot_btcusdt.json	bitget_uta_tickers_parse_official_futures_and_spot_fixture	bitget_uta_tickers_use_official_path_category_queries	public
Gate	Get	/api/v4/futures/usdt/tickers	Baseline	PerpTicker	2026-06-03	gate-apiv4-get-all-futures-trading-statistics-2026-06-03	sha256:5107efe33cfd9f0939d1854a5f8c858145ce66153610ad6acd85e969a71a3774	crates/exchange/fixtures/gate/futures_usdt_tickers_btc_eth_usdt.json	gate_futures_tickers_parse_official_fixture_prices_and_mark	gate_futures_tickers_uses_official_path_without_query	public
Gate	Get	/api/v4/spot/tickers	Baseline	SpotTicker	2026-06-03	gate-apiv4-list-spot-tickers-2026-06-03	sha256:d42985986293d2a2ed6e2f291ff34b8510c83eab4a9105c57055cc6ac89e878a	crates/exchange/fixtures/gate/spot_tickers_btc_eth_usdt.json	gate_spot_tickers_parse_official_fixture_keeps_missing_sizes_none	gate_spot_tickers_uses_official_path_without_query	public
Gate	Get	/api/v4/futures/usdt/contracts	Baseline	FundingRate	2026-06-03	gate-apiv4-list-futures-contracts-2026-06-03	sha256:8d34ecc69829afdec05cad79d47cd69c8afab63a52a274c26d77cd50ce025d4f	crates/exchange/fixtures/gate/futures_usdt_contracts_btc_usdt.json	gate_contracts_parses_official_fixture_metadata_and_funding	gate_contracts_and_tickers_uses_official_contracts_path_without_query	public
Kucoin	Get	/api/v1/allTickers	Baseline	PerpTicker	2026-06-03	kucoin-futures-get-all-tickers-2026-06-03	sha256:0ce92253b1be93e2e0554e354917a566b4435954643a1ec6338e203040b18c10	crates/exchange/fixtures/kucoin/futures_all_tickers_xbt_eth_usdtm.json	kucoin_futures_all_tickers_parses_official_fixture_quotes	kucoin_futures_all_tickers_uses_official_path_without_query	public
Kucoin	Get	/api/v1/contracts/active	Baseline	FundingRate	2026-06-03	kucoin-futures-get-all-symbols-2026-06-03	sha256:ffd6fe27987d000d61c116dbc848e4f643087f2bad800c60a4a8e8b4b52801a6	crates/exchange/fixtures/kucoin/contracts_active_xbt_eth_usdtm.json	contracts_active_fixture_preserves_official_multiplier_and_funding	kucoin_contracts_active_uses_official_path_without_query	public
Kucoin	Get	/api/v1/market/allTickers	Baseline	SpotTicker	2026-06-03	kucoin-spot-get-all-tickers-2026-06-03	sha256:b353998af8a464261543191d29b735e66537c7e50f37df2c50143d3f10d2a36a	crates/exchange/fixtures/kucoin/spot_market_all_tickers_btc_eth_usdt.json	kucoin_spot_all_tickers_parses_official_fixture_quotes	kucoin_spot_market_all_tickers_uses_official_path_without_query	public
Hyperliquid	Post	/info	Baseline	PerpTicker	2026-06-03	hyperliquid-perpetuals-meta-and-asset-ctxs-2026-06-03	sha256:b5b76216f848ed73eb687ad9610d29e90a93234b07dd7193c1ae9d94c65891b4	crates/exchange/fixtures/hyperliquid/meta_and_asset_ctxs_btc_eth.json	hyperliquid_meta_and_asset_ctxs_parses_official_fixture_metadata_ticker_funding	hyperliquid_get_tickers_requests_meta_and_asset_ctxs	public
Hyperliquid	Post	/info	Baseline	SpotTicker	2026-06-03	hyperliquid-spot-meta-and-asset-ctxs-2026-06-03	sha256:4342019a816e691b3e14385f4cd61fd32c47ac61ad741e62c6d8c2f975de9a4b	crates/exchange/fixtures/hyperliquid/spot_meta_and_asset_ctxs_purr_hfun.json	hyperliquid_spot_meta_and_asset_ctxs_parses_official_fixture	hyperliquid_get_spot_tickers_requests_spot_meta_and_asset_ctxs	public
Hyperliquid	Post	/info	Baseline	FundingRate	2026-06-03	hyperliquid-perpetuals-predicted-fundings-2026-06-03	sha256:bf35a0cdd8c6f65c7dab0d86571a2cdbe59540e0f5472bea5cd476d714806031	crates/exchange/fixtures/hyperliquid/predicted_fundings_avax.json	hyperliquid_predicted_fundings_parses_official_fixture_hl_perp	hyperliquid_get_funding_rates_requests_meta_and_predicted_fundings	public
Binance	Post	/fapi/v1/order	TradeWrite	OrderAck	2026-06-29	binance-usdm-futures-new-order-2026-06-29	sha256:5f25d9d42028c74f8141427ae560db29132f8e6d7b5c27b706806a7f0c734cf0	crates/exchange/fixtures/binance/usdm_place_order_ack.json	binance_place_order_ack_parses_official_fixture	rest_limit_order_params_match_binance_schema	signed
Binance	Post	/fapi/v1/order/test	TradeWrite	OrderAck	2026-07-07	binance-usdm-futures-test-new-order-2026-07-07	not_recorded	not_recorded	not_recorded	crates/exchange/src/adapters/binance_private_rest.rs::test_order_uses_official_non_matching_endpoint	signed
Binance	Delete	/fapi/v1/order	TradeWrite	OrderAck	2026-07-02	binance-usdm-futures-cancel-order-2026-07-02	sha256:2af0ef4d430ce0c6a1bd424933d396d89c779afb17046eb7f9aac14033bb0d3e	crates/exchange/fixtures/binance/usdm_cancel_order_ack.json	binance_cancel_order_ack_parses_official_fixture	cancel_params_use_orig_client_order_id	signed
Okx	Post	/api/v5/trade/order	TradeWrite	OrderAck	2026-06-29	okx-v5-trade-place-order-2026-06-29	sha256:60311d35248b9fc2385a2181f695c6d0d82d6739a1587ea6ad0e02406e0be4ef	crates/exchange/fixtures/okx/trade_place_order_ack.json	okx_place_order_ack_parses_official_fixture	place_order_arg_uses_configured_td_mode	signed
Okx	Post	/api/v5/trade/order-precheck	TradeWrite	OrderAck	2026-07-07	okx-v5-trade-order-precheck-2026-07-07	not_recorded	not_recorded	not_recorded	pre_check_order_uses_official_pre_check_endpoint_and_body	signed
Okx	Post	/api/v5/trade/cancel-order	TradeWrite	OrderAck	2026-07-02	okx-v5-trade-cancel-order-2026-07-02	sha256:89dfd90d94b74305ab38077f311d50c7adf51f07ffd64a740398829b4f839dad	crates/exchange/fixtures/okx/trade_cancel_order_ack.json	okx_cancel_order_ack_parses_official_fixture	live_cancel_order_uses_official_cancel_order_path_and_client_order_id	signed
Okx	Get	/api/v5/trade/order	PrivateRead	OrderStatus	2026-06-30	okx-v5-trade-get-order-details-2026-06-30	sha256:ab130bf25d597425e16841477e61fac0b5d4a345eb305d340bcec40bd82392b1	crates/exchange/fixtures/okx/trade_get_order_filled.json	okx_get_order_parses_official_fixture	live_get_order_empty_success_is_none	signed
Okx	Get	/api/v5/account/config	PrivateRead	AccountConfig	2026-07-02	okx-v5-trading-account-get-account-configuration-2026-07-02	sha256:d8967eefd2b0a5a88960be4c41768d392b866c572e027021797eb16fd3a01aa5	crates/exchange/fixtures/okx/account_config_long_short.json	okx_account_config_parses_official_fixture_position_mode	okx_account_mode_reads_signed_account_config_without_demo_header	signed
Okx	Get	/api/v5/account/balance	PrivateRead	AccountBalance	2026-07-02	okx-v5-trading-account-get-balance-2026-07-02	sha256:5b845155b110daa670b43b945d0302f0c9fea4a54e373187d15f4c2559a8bb7f	crates/exchange/fixtures/okx/account_balance_usdt.json	okx_account_balance_parses_official_fixture	get_balance_sends_all_signed_headers	signed
Okx	Get	/api/v5/account/bills	PrivateRead	FundingPayment	2026-07-02	okx-v5-account-bills-funding-fee-2026-07-02	sha256:b3a76a0b0cf782a3f2a599b865d801f44b07c3549bc6027329125a21e6133c8a	crates/exchange/fixtures/okx/account_bills_funding_fee_btc_usdt_swap.json	okx_funding_payment_parses_official_bills_fixture	okx_funding_payments_request_uses_bills_subtype_filter	signed
Bybit	Post	/v5/order/create	TradeWrite	OrderAck	2026-06-29	bybit-v5-order-create-2026-06-29	sha256:d9d397e431457b054abd260a76b5a2261c4bc21abb673b70826a20165ffff65e	crates/exchange/fixtures/bybit/order_create_ack.json	bybit_place_order_ack_parses_official_fixture	limit_order_uses_gtc_and_price	signed
Bybit	Post	/v5/order/pre-check	TradeWrite	OrderAck	2026-07-07	bybit-v5-order-pre-check-2026-07-07	not_recorded	not_recorded	not_recorded	pre_check_order_uses_official_pre_check_endpoint	signed
Bybit	Post	/v5/order/cancel	TradeWrite	OrderAck	2026-07-02	bybit-v5-order-cancel-2026-07-02	sha256:9e66839ea77befc4089a173c25a707a41c95d636e671d02eb134876be9e3b32e	crates/exchange/fixtures/bybit/order_cancel_ack.json	bybit_cancel_order_ack_parses_official_fixture	crates/exchange/tests/bybit_test.rs::live_cancel_order_returns_cancel_requested	signed
Bybit	Get	/v5/order/realtime	PrivateRead	OrderStatus	2026-06-30	bybit-v5-get-open-closed-orders-2026-06-30	sha256:62fb1814eb2c0fd419439dc5d123cca08da410f6c2151215ed10ab22f83b650a	crates/exchange/fixtures/bybit/order_realtime_linear_open.json	bybit_get_order_parses_official_fixture	live_get_order_queries_realtime_by_order_link_id	signed
Bybit	Get	/v5/position/list	PrivateRead	AccountConfig	2026-07-02	bybit-v5-get-position-info-2026-07-02	sha256:3acee570e8c4c95192898d7a9da073a93f08394e860d0f912155b6a88b571de1	crates/exchange/fixtures/bybit/position_list_one_way.json	bybit_position_mode_parses_official_fixture	live_account_mode_reads_one_way_position_idx	signed
Bitget	Post	/api/v3/trade/place-order	TradeWrite	OrderAck	2026-06-29	bitget-uta-trade-place-order-2026-06-29	sha256:22dc071f603168741b8d5e8f393f5838a5286a992286bc0369c0b7e4a1b33932	crates/exchange/fixtures/bitget/uta_place_order_ack.json	bitget_place_order_ack_parses_official_fixture	place_order_body_uses_time_in_force_and_v3_category	signed
Bitget	Post	/api/v3/trade/cancel-order	TradeWrite	OrderAck	2026-07-02	bitget-uta-trade-cancel-order-2026-07-02	sha256:bd083965f8d4e03c3fa9cf64d2aacdc8d6337ed763d2d7f050c9cb7a087db348	crates/exchange/fixtures/bitget/uta_cancel_order_ack.json	bitget_cancel_order_ack_parses_official_fixture	crates/exchange/tests/bitget_test.rs::live_cancel_order_returns_cancel_requested	signed
Bitget	Get	/api/v3/trade/order-info	PrivateRead	OrderStatus	2026-06-30	bitget-uta-trade-get-order-details-2026-06-30	sha256:79653caccf87a5bab7cd986acd4046a6fd2dccee61d346a636e5249de51f6ddd	crates/exchange/fixtures/bitget/uta_order_info_filled.json	bitget_get_order_parses_official_fixture	live_get_order_queries_detail_by_client_oid	signed
Bitget	Get	/api/v3/account/assets	PrivateRead	AccountBalance	2026-07-02	bitget-uta-account-get-account-assets-2026-07-02	sha256:60f1410d2d8d70b4a1e8a603250d6f60b515bfda4bff218bc1274b25291e86c2	crates/exchange/fixtures/bitget/uta_account_assets.json	bitget_account_assets_parses_official_fixture	crates/exchange/tests/bitget_test.rs::balance_signed_headers	signed
Bitget	Get	/api/v3/trade/unfilled-orders	PrivateRead	OrderStatus	2026-07-02	bitget-uta-trade-get-open-orders-2026-07-02	sha256:db28d856fe017bc4cb9b8609a8cae12fbef7c85367db6aef90ce7bfe0eae8d13	crates/exchange/fixtures/bitget/uta_unfilled_orders_open.json	bitget_unfilled_orders_parses_official_fixture	live_open_orders_queries_unfilled_orders_with_v3_category	signed
Binance	Get	/fapi/v3/balance	PrivateRead	AccountBalance	2026-07-30	binance-usdm-futures-account-balance-v3-2026-07-30	sha256:8308340728d96036dd921af43a27acbaeef83df4b990109f762e29143bbe9b01	crates/exchange/fixtures/binance/usdm_balance_v3.json	binance_balance_parses_official_fixture	balance_signed_request_with_api_key_header	signed
Binance	Get	/fapi/v1/income	PrivateRead	FundingPayment	2026-07-02	binance-usdm-income-history-funding-fee-2026-07-02	sha256:a47478601a0fc110d0836509bdf9dbf58631659aef43587c6593845876e83b50	crates/exchange/fixtures/binance/usdm_income_funding_fee_btcusdt.json	binance_funding_payment_parses_official_income_fixture	binance_funding_payments_request_uses_income_history_funding_fee_filter	signed
Bybit	Get	/v5/account/wallet-balance	PrivateRead	AccountBalance	2026-07-13	bybit-v5-wallet-balance-2026-07-13	sha256:39775d9331b6ba06d3ff435d78ecb62acbf544c13474e498545b19f414a9751f	crates/exchange/fixtures/bybit/wallet_balance_unified_account_metrics.json	bybit_account_summary_parses_equity_margin_rates_and_source	crates/exchange/tests/bybit_test.rs::balance_signed_headers	signed
Bybit	Get	/v5/account/transaction-log	PrivateRead	FundingPayment	2026-07-02	bybit-v5-account-transaction-log-funding-fee-2026-07-02	sha256:94271121cfe93ff9e916e5affb1e267dfcf175caac391bd58ff0595cf67f0595	crates/exchange/fixtures/bybit/account_transaction_log_funding_fee.json	bybit_funding_payment_parses_official_transaction_log_fixture	bybit_funding_payments_request_uses_transaction_log_settlement_filter	signed
Binance	Get	/fapi/v1/order	PrivateRead	OrderStatus	2026-06-29	binance-usdm-futures-query-order-2026-06-29	sha256:f6f5edac0707319bbd976905f6d86cc20d291a667379f4abf68555dcd682999f	crates/exchange/fixtures/binance/usdm_get_order_filled.json	binance_get_order_parses_official_fixture	live_get_order_returns_order_info	signed
