path	methods	router	class	default_exposure	risk	auth_policy	audit_policy	feature_flag	shared_dto	frontend_client	owner	notes
/api/system/venue-runtime-health	GET	system	diagnostic	always	low	bearer	read	core	shared	ApiClient::venue_runtime_health	api-system	Deterministic venue runtime health projection from the existing operation-health snapshot; optional venue query scopes venues without request-time probes.
/api/trading/action-runs	GET	trading	main_p0	always	low	bearer	read	core	shared	ApiClient::action_runs+ApiClient::action_runs_envelope	api-trading	Bounded ActionRun list through the shared resource envelope.
/api/trading/action-runs/:id	GET	trading	main_p0	always	low	bearer	read	core	shared	ApiClient::action_run	api-trading	ActionRun detail.
/api/trading/adapters	GET	trading	main_p0	always	low	bearer	read	core	shared	ApiClient::trading_adapters	api-trading	Trading adapter capability read.
/api/trading/adapters/select	POST	trading	main_p0	always	high	bearer	action_run	core	shared	ApiClient::select_trading_adapter_with_context	api-trading	Audited trading adapter selection used by the settings transport controls.
/api/trading/account-state	GET	trading	main_p0	always	medium	bearer	read	core	shared	ApiClient::trading_account_state	api-trading	Account state evidence snapshot combining balance, position, operation health, and field-quality evidence.
/api/trading/balances	GET	trading	main_p0	always	medium	bearer	read	core	shared	ApiClient::trading_balances	api-trading	Account balance read.
/api/trading/credentials/env-template	GET	trading	main_p0	always	medium	bearer	read	core	shared	ApiClient::trading_credentials_env_template	api-settings	Credential env template without secret values.
/api/trading/execution-ledger	GET	trading	main_p0	always	low	bearer	read	core	shared	none	api-execution	Execution ledger evidence query.
/api/trading/execution-runs	GET	trading	main_p0	always	low	bearer	read	core	shared	ApiClient::execution_runs+ApiClient::execution_runs_for_context	api-execution	ExecutionRun snapshot and scoped restore query.
/api/trading/fee-schedules	GET	trading	main_p0	always	low	bearer	read	core	shared	ApiClient::trading_fee_schedules	api-trading	Fee schedule official fixture registry read for Settings evidence and fee provenance audit.
/api/trading/fee-snapshots	POST	trading	main_p0	always	high	bearer	action_run	core	shared	none	api-trading	Fee evidence mutation.
/api/trading/kill-switch	POST	trading	main_p0	always	high	bearer	action_run	core	shared	ApiClient::set_kill_switch+ApiClient::set_kill_switch_with_idempotency_key	api-risk	Kill switch mutation.
/api/trading/orders	GET	trading	main_p0	always	medium	bearer	read	core	shared	ApiClient::trading_orders	api-execution	Order list read.
/api/trading/orders	POST	trading	main_p0	always	high	bearer	action_run	core	shared	ApiClient::submit_order	api-execution	Order submit mutation.
/api/trading/orders/:id	GET	trading	main_p0	always	medium	bearer	read	core	shared	none	api-execution	Order detail.
/api/trading/orders/:id/cancel	POST	trading	main_p0	always	high	bearer	action_run	core	shared	ApiClient::cancel_order	api-execution	Order cancel mutation.
/api/trading/orders/reconcile	POST	trading	main_p0	always	high	bearer	action_run	core	shared	none	api-execution	Order reconciliation mutation.
/api/trading/portfolio/close-all	POST	portfolio	main_p0	always	high	bearer	action_run	core	shared	ApiClient::close_all_portfolio_positions	api-portfolio	Close-all portfolio action.
/api/trading/portfolio/close-runs/:close_run_id/compensation-orders	POST	portfolio	main_p0	always	high	bearer	action_run	core	shared	ApiClient::submit_close_run_compensation	api-portfolio	Close-run manual compensation order action.
/api/trading/portfolio/close-runs/:close_run_id/manual-terminal	POST	portfolio	main_p0	always	high	bearer	action_run	core	shared	ApiClient::submit_close_run_manual_terminal	api-portfolio	Close-run manual terminal evidence action.
/api/trading/portfolio/nav-history	GET	portfolio	main_p0	always	low	bearer	read	core	shared	ApiClient::portfolio_nav_history	api-portfolio	Portfolio NAV history envelope read with storage/source/schema health.
/api/trading/portfolio/positions/:venue/:symbol/close	POST	portfolio	main_p0	always	high	bearer	action_run	core	shared	ApiClient::close_portfolio_position	api-portfolio	Single position close action.
/api/trading/portfolio/positions/:venue/:symbol/close-pair	POST	portfolio	main_p0	always	high	bearer	action_run	core	shared	ApiClient::close_portfolio_position_pair	api-portfolio	Pair position close action.
/api/trading/portfolio/snapshot	GET	portfolio	main_p0	always	medium	bearer	read	core	shared	ApiClient::portfolio_snapshot+ApiClient::portfolio_snapshot_envelope	api-portfolio	Portfolio snapshot envelope read; cold-start failures return typed problem without fake snapshot.
/api/trading/positions	GET	trading	main_p0	always	medium	bearer	read	core	shared	ApiClient::trading_positions	api-trading	Trading position read.
/api/trading/risk-config	PATCH	trading	main_p0	always	high	bearer	action_run	core	shared	ApiClient::update_trading_risk_config+ApiClient::update_trading_risk_config_with_idempotency_key	api-risk	Risk config mutation.
/api/trading/rest/endpoints	GET	trading	main_p0	always	low	bearer	read	core	shared	ApiClient::trading_rest_endpoints	api-trading	REST endpoint official-doc evidence registry read.
/api/trading/status	GET	trading	main_p0	always	low	bearer	read	core	shared	ApiClient::trading_status	api-trading	Trading status read.
/api/trading/transport/registry	GET	trading	main_p0	always	low	bearer	read	core	shared	ApiClient::trading_transport_registry	api-trading	Unified REST and WS transport evidence registry read.
/api/trading/venues/quality	GET	venues	main_p0	always	low	bearer	read	core	shared	ApiClient::venues_quality	api-review	Venue quality alias for trading UI.
/api/trading/ws/operations	GET	trading	main_p0	always	low	bearer	read	core	shared	ApiClient::trading_ws_operations	api-trading	Trading WS operation official-doc evidence registry read.
/api/trading/ws/venues	GET	trading	main_p0	always	low	bearer	read	core	shared	ApiClient::trading_ws_venues	api-trading	Trading WS static capability read.
/api/v1/spot/ticks	GET	spot	diagnostic	default_off	low	bearer	read	api_surface.spot_v1	shared	ApiClient::spot_ticks+ApiClient::spot_ticks_query	api-market	Default-off read-only spot diagnostics: bounded query/page, row freshness, per-venue runtime outcomes, and base listing coverage are observation evidence only, never an executable opportunity claim.
/api/v1/strategy/kinds	GET	strategy_v1	diagnostic	default_off	low	bearer	read	api_surface.strategy_v1	shared	none	api-strategy	Legacy strategy diagnostics stay disabled by default; main UI consumes ApiClient::main_strategy_kinds via /api/strategy/main-kinds.
/api/v3/arbitrage/opportunities	GET	arbitrage	legacy	always	low	bearer	read	core	shared	none	api-arbitrage	Compatibility-only wide opportunity envelope; response carries OPPORTUNITY_LEGACY_WIDE_ENDPOINT and product clients must use /api/v3/arbitrage/opportunities/list.
/api/v3/arbitrage/opportunities/:id	GET	arbitrage	main_p0	always	low	bearer	read	core	shared	none	api-arbitrage	Opportunity detail seed.
/api/v3/arbitrage/opportunities/:id/detail	GET	arbitrage	main_p0	always	low	bearer	read	core	shared	ApiClient::opportunity_detail_read	api-arbitrage	Combined opportunity detail envelope: opportunity, long/short orderbook, history, long/short index composition, source/freshness/retry/problem.
/api/v3/arbitrage/opportunities/list	GET	arbitrage	main_p0	always	low	bearer	read	core	shared	ApiClient::futures_opportunity_list_response+ApiClient::futures_opportunity_list_page+ApiClient::futures_opportunity_list_for_strategy_page+ApiClient::futures_opportunity_list_for_symbol_response+ApiClient::futures_opportunity_list_for_symbol_page+ApiClient::scan_opportunity_list_response+ApiClient::scan_opportunity_list_page+ApiClient::scan_opportunity_list_for_symbol_response+ApiClient::scan_opportunity_list_for_symbol_page	api-arbitrage	Paginated opportunity list.
/api/venues/instrument-coverage	GET	venues	main_p0	always	low	bearer	read	core	shared	none	api-market	Per-venue official instrument listing coverage, freshness, and fail-closed diagnostics; product search consumes the compact list-envelope listing projection.
/api/venues/index-compositions	GET	venues	diagnostic	always	medium	bearer	read	core	shared	none	api-market	Index composition read diagnostics.
/api/venues/index-compositions	POST	venues	diagnostic	always	high	bearer	required	core	shared	none	api-market	Index composition upsert diagnostics.
/api/venues/index-compositions/envelope	GET	venues	diagnostic	always	low	bearer	read	core	shared	ApiClient::index_compositions_read	api-market	Index composition envelope read.
/api/venues/index-compositions/fetch	GET	venues	diagnostic	always	medium	bearer	read	core	shared	ApiClient::index_composition+ApiClient::index_composition_read	api-market	Manual index composition fetch.
/api/venues/quality	GET	venues	main_p0	always	low	bearer	read	core	shared	none	api-review	Venue quality read.
/api/watchlist	GET	watchlist	product_support	default_off	medium	bearer	read	api_surface.watchlist_alerts	shared	ApiClient::watchlist	api-watchlist	Volatile watchlist runtime read exposes bounded public prewarm and zero private-WS side effects behind the feature gate.
/api/watchlist	POST	watchlist	product_support	default_off	high	bearer	required	api_surface.watchlist_alerts	shared	none	api-watchlist	Business-idempotent audited watchlist mutation with bounded public prewarm runtime effects.
/api/watchlist/:id	DELETE	watchlist	product_support	default_off	medium	bearer	required	api_surface.watchlist_alerts	shared	none	api-watchlist	Replay-safe watchlist deletion cascades attached alert rules and cooldown state.
/api/webhook/config	PATCH	webhook	main_p0	always	high	bearer	secret_mutation	core	shared	ApiClient::update_webhook_config	api-webhook	ActionRun-audited runtime-only endpoint and secret mutation with HTTPS and SSRF validation.
/api/webhook/status	GET	webhook	main_p0	always	low	bearer	read	core	shared	ApiClient::webhook_status	api-webhook	Secret-free bounded queue and recent delivery diagnostics.
/api/webhook/test	POST	webhook	main_p0	always	medium	bearer	required	core	shared	ApiClient::test_webhook	api-webhook	Signed idempotent test event through the same bounded delivery and retry path.
/health	GET	health	liveness	always	low	public_liveness	read	core	router_local	ApiClient::health	api-system	Liveness endpoint; always 200 when process responds.
/health/ready	GET	health	readiness	always	medium	bearer	read	core	router_local	none	api-system	Readiness endpoint; runtime blocked rows may return 503.
/metrics	GET	metrics	diagnostic	always	medium	scrape_bearer	metrics	core	prometheus	none	api-observability	Prometheus metrics surface.
/ws	GET	websocket	main_p0	always	medium	bearer_ws	read	core	websocket	none	api-realtime	Application websocket hub.
